
IP              Ping            Hostname                Ports           
95.170.192.11   272 ms          [n/a]                   21-23,80        
95.170.192.41   321 ms          [n/a]                   21-23,80,443    
95.170.192.10   345 ms          [n/a]                   21-23,80        
95.170.192.46   292 ms          [n/a]                   22,80,443       
95.170.192.35   327 ms          [n/a]                   22,23,80,443    
95.170.192.78   311 ms          [n/a]                   21-23,80        
95.170.192.99   322 ms          [n/a]                   21-23,80        
95.170.192.45   320 ms          [n/a]                   443             
95.170.192.100  321 ms          [n/a]                   80,443          
95.170.192.106  322 ms          [n/a]                   80,443          
95.170.192.74   311 ms          [n/a]                   22              
95.170.192.110  274 ms          [n/a]                   22              
95.170.192.117  292 ms          [n/a]                   22,443          
95.170.192.115  313 ms          [n/a]                   22              
95.170.192.116  337 ms          [n/a]                   22              
95.170.192.213  272 ms          [n/a]                   80,443,8080     
95.170.192.216  272 ms          [n/a]                   80,443          
95.170.192.220  282 ms          [n/a]                   80,443          
95.170.192.217  286 ms          [n/a]                   80,443          
95.170.192.194  292 ms          [n/a]                   22              
95.170.192.218  338 ms          [n/a]                   21,80,443       
95.170.192.246  286 ms          [n/a]                   80              
95.170.192.221  335 ms          [n/a]                   80,443          
95.170.192.226  335 ms          [n/a]                   22              
95.170.193.138  284 ms          [n/a]                   21-23,80        
95.170.193.108  284 ms          [n/a]                   443             
95.170.193.154  322 ms          [n/a]                   22,443          
95.170.194.6    326 ms          [n/a]                   80              
95.170.194.4    330 ms          [n/a]                   443             
95.170.194.11   324 ms          [n/a]                   80              
95.170.194.10   346 ms          [n/a]                   80              
95.170.194.7    355 ms          [n/a]                   80              
95.170.194.9    342 ms          [n/a]                   80              
95.170.194.2    372 ms          [n/a]                   80              
95.170.194.14   323 ms          [n/a]                   80              
95.170.194.3    378 ms          [n/a]                   80              
95.170.194.31   321 ms          [n/a]                   80              
95.170.194.51   383 ms          [n/a]                   22,80,443       
95.170.194.29   335 ms          [n/a]                   80              
95.170.194.13   391 ms          [n/a]                   80              
95.170.194.62   322 ms          [n/a]                   80              
95.170.194.19   379 ms          [n/a]                   80              
95.170.194.57   335 ms          [n/a]                   80              
95.170.194.58   336 ms          [n/a]                   80              
95.170.194.48   380 ms          [n/a]                   443,3389        
95.170.194.27   390 ms          [n/a]                   80              
95.170.194.26   390 ms          [n/a]                   80              
95.170.194.30   391 ms          [n/a]                   80              
95.170.194.44   384 ms          [n/a]                   80              
95.170.194.53   384 ms          [n/a]                   80              
95.170.194.45   391 ms          [n/a]                   80              
95.170.194.61   384 ms          [n/a]                   80              
95.170.194.142  318 ms          [n/a]                   80,443          
95.170.194.141  329 ms          [n/a]                   80,443          
95.170.194.129  361 ms          [n/a]                   21              
95.170.194.140  373 ms          [n/a]                   80,443          
95.170.194.114  442 ms          [n/a]                   443             
95.170.194.194  369 ms          [n/a]                   21-23,80,8080   
95.170.194.187  324 ms          [n/a]                   80,443          
95.170.194.188  380 ms          [n/a]                   80,443          
95.170.194.227  324 ms          [n/a]                   22,80,443       
95.170.194.190  381 ms          [n/a]                   80,443          
95.170.194.189  371 ms          [n/a]                   80,443          
95.170.194.226  373 ms          [n/a]                   22              
95.170.195.17   318 ms          [n/a]                   22              
95.170.195.19   331 ms          [n/a]                   443             
95.170.195.42   351 ms          [n/a]                   22,80           
95.170.199.2    335 ms          [n/a]                   21-23,80        
95.170.200.50   267 ms          [n/a]                   443             
95.170.200.66   289 ms          [n/a]                   21,23,80        
95.170.200.22   346 ms          [n/a]                   443             
95.170.200.43   308 ms          [n/a]                   443             
95.170.200.106  267 ms          [n/a]                   80,443,3389     
95.170.200.73   327 ms          [n/a]                   22              
95.170.200.114  336 ms          [n/a]                   80,443          
95.170.200.122  311 ms          [n/a]                   22              
95.170.200.150  336 ms          [n/a]                   21-23,80        
95.170.200.155  330 ms          [n/a]                   21,443          
95.170.200.169  288 ms          [n/a]                   21              
95.170.200.200  285 ms          [n/a]                   22              
95.170.201.34   286 ms          [n/a]                   22              
95.170.202.2    269 ms          [n/a]                   21-23,80        
95.170.202.30   281 ms          [n/a]                   21-23,80        
95.170.202.10   315 ms          [n/a]                   22,23,80        
95.170.202.81   267 ms          [n/a]                   21              
95.170.202.129  267 ms          [n/a]                   21,23,80        
95.170.202.38   317 ms          [n/a]                   22,80           
95.170.202.134  296 ms          [n/a]                   3389            
95.170.202.37   324 ms          [n/a]                   21,22,80,443    
95.170.202.146  311 ms          [n/a]                   21-23           
95.170.202.234  267 ms          [n/a]                   22,23           
95.170.203.60   272 ms          [n/a]                   80,443          
95.170.203.59   329 ms          [n/a]                   22,80,443       
95.170.203.74   348 ms          [n/a]                   21-23,80,443    
95.170.203.58   330 ms          [n/a]                   22,80,443       
95.170.203.113  284 ms          [n/a]                   21,80           
95.170.203.138  280 ms          [n/a]                   80              
95.170.203.155  305 ms          [n/a]                   22,80,443       
95.170.203.178  269 ms          [n/a]                   21,23,80        
95.170.203.226  273 ms          [n/a]                   443             
95.170.205.33   327 ms          [n/a]                   21,80           
95.170.205.65   331 ms          [n/a]                   21,80           
95.170.205.50   326 ms          [n/a]                   80              
95.170.205.81   325 ms          [n/a]                   21,80           
95.170.205.36   378 ms          [n/a]                   80              
95.170.205.49   378 ms          [n/a]                   21              
95.170.205.40   446 ms          [n/a]                   22              
95.170.205.193  340 ms          [n/a]                   21,23           
95.170.205.145  382 ms          [n/a]                   21,80           
95.170.205.202  338 ms          [n/a]                   80              
95.170.205.203  404 ms          [n/a]                   80              
95.170.206.38   389 ms          [n/a]                   22              
95.170.206.66   338 ms          [n/a]                   443             
95.170.206.18   613 ms          [n/a]                   21-23,80        
95.170.206.131  331 ms          [n/a]                   22,80           
95.170.206.129  365 ms          [n/a]                   21              
95.170.206.134  377 ms          [n/a]                   80,443          
95.170.206.133  368 ms          [n/a]                   22              
95.170.206.132  375 ms          [n/a]                   22              
95.170.207.4    331 ms          [n/a]                   80              
95.170.207.38   368 ms          [n/a]                   21-23,80        
95.170.207.5    335 ms          [n/a]                   80              
95.170.207.2    366 ms          [n/a]                   80              
95.170.207.183  317 ms          [n/a]                   22,80,443       
95.170.207.164  330 ms          [n/a]                   21,22,443,3389,5900
95.170.207.188  380 ms          [n/a]                   80,443          
95.170.207.177  380 ms          [n/a]                   80              
95.170.207.222  330 ms          [n/a]                   22,23           
95.170.207.184  393 ms          [n/a]                   21,80,3389,5900 
95.170.207.250  347 ms          [n/a]                   22              
95.170.208.226  282 ms          [n/a]                   8080            
95.170.208.242  349 ms          [n/a]                   22,23           
95.170.215.34   350 ms          [n/a]                   21-23,80        
95.170.215.30   350 ms          [n/a]                   21,22,80        
95.170.215.46   345 ms          [n/a]                   21,22,80        
95.170.215.108  350 ms          [n/a]                   21,22,443,8080  
95.170.215.116  282 ms          [n/a]                   22,443          
95.170.215.125  279 ms          [n/a]                   22              
95.170.215.118  344 ms          [n/a]                   22,80           
95.170.215.163  293 ms          [n/a]                   21,22,80        
95.170.215.167  283 ms          [n/a]                   22              
95.170.215.173  350 ms          [n/a]                   21-23,80        
95.170.215.162  350 ms          [n/a]                   80              
95.170.215.171  344 ms          [n/a]                   22              
95.170.215.190  350 ms          [n/a]                   443             
95.170.215.170  344 ms          [n/a]                   22,80           
95.170.216.22   280 ms          [n/a]                   22,23           
95.170.216.6    287 ms          [n/a]                   22              
95.170.215.172  344 ms          [n/a]                   22              
95.170.216.142  285 ms          [n/a]                   21,23,80,8080   
95.170.216.154  292 ms          [n/a]                   21-23           
95.170.216.164  291 ms          [n/a]                   22,80           
95.170.216.161  354 ms          [n/a]                   22,443          
95.170.216.214  283 ms          [n/a]                   21-23,80        
95.170.217.6    356 ms          [n/a]                   21,22,80        
95.170.217.18   294 ms          [n/a]                   23              
95.170.217.14   353 ms          [n/a]                   22              
95.170.216.158  353 ms          [n/a]                   23              
95.170.216.210  354 ms          [n/a]                   22,80           
95.170.217.26   348 ms          [n/a]                   23              
95.170.218.26   287 ms          [n/a]                   22,8080         
95.170.218.27   347 ms          [n/a]                   22              
95.170.218.66   353 ms          [n/a]                   21-23,80        
95.170.219.2    276 ms          [n/a]                   22,23           
95.170.219.30   285 ms          [n/a]                   21-23,80        
95.170.219.10   280 ms          [n/a]                   80              
95.170.219.14   293 ms          [n/a]                   443             
95.170.219.82   275 ms          [n/a]                   21-23,80        
95.170.219.75   303 ms          [n/a]                   22,23           
95.170.219.86   303 ms          [n/a]                   22,23           
95.170.219.134  289 ms          [n/a]                   80              
95.170.219.178  272 ms          [n/a]                   443             
95.170.220.1    268 ms          [n/a]                   21              
95.170.220.19   273 ms          [n/a]                   22              
95.170.220.51   277 ms          [n/a]                   80,443          
95.170.220.58   266 ms          [n/a]                   80,443          
95.170.220.59   286 ms          [n/a]                   22,23           
95.170.220.61   285 ms          [n/a]                   80,443          
95.170.220.54   307 ms          [n/a]                   22,23           
95.170.220.66   321 ms          [n/a]                   3389            
95.170.220.53   311 ms          [n/a]                   80,443          
95.170.220.50   310 ms          [n/a]                   80,443          
95.170.220.67   286 ms          [n/a]                   3389            
95.170.220.106  312 ms          [n/a]                   3389            
95.170.220.109  321 ms          [n/a]                   22,443          
95.170.220.110  320 ms          [n/a]                   22              
95.170.220.29   462 ms          [n/a]                   22,23           
95.170.220.26   430 ms          [n/a]                   443             
95.170.222.106  348 ms          [n/a]                   22,443          
95.170.222.226  273 ms          [n/a]                   80              
95.170.222.242  355 ms          [n/a]                   443             
95.170.223.75   398 ms          [n/a]                   21,22,80        
95.170.223.46   402 ms          [n/a]                   443             
95.170.223.74   398 ms          [n/a]                   21-23,80        
