
IP              Ping            Hostname                Ports           
91.106.32.23    327 ms          [n/a]                   22,80,8080      
91.106.32.10    321 ms          [n/a]                   22,80           
91.106.32.120   308 ms          [n/a]                   443             
91.106.34.37    279 ms          [n/a]                   21-23,80        
91.106.34.38    276 ms          [n/a]                   80,443,8080     
91.106.34.98    259 ms          [n/a]                   80              
91.106.34.131   276 ms          [n/a]                   21              
91.106.34.236   281 ms          [n/a]                   80,3389         
91.106.34.234   277 ms          [n/a]                   22              
91.106.34.233   272 ms          [n/a]                   22              
91.106.34.251   259 ms          [n/a]                   21-23,80        
91.106.34.246   269 ms          [n/a]                   3389            
91.106.35.131   293 ms          [n/a]                   80,443,8080     
91.106.35.132   298 ms          [n/a]                   80,443,8080     
91.106.35.133   309 ms          [n/a]                   80,443,8080     
91.106.35.130   313 ms          [n/a]                   80,443,8080     
91.106.35.138   306 ms          [n/a]                   80,443,8080     
91.106.35.139   300 ms          [n/a]                   80,443,8080     
91.106.35.137   306 ms          [n/a]                   80,443,8080     
91.106.35.136   309 ms          [n/a]                   80,443,8080     
91.106.35.134   314 ms          [n/a]                   80,443,8080     
91.106.35.135   311 ms          [n/a]                   80,443,8080     
91.106.35.141   302 ms          [n/a]                   80,443,8080     
91.106.35.142   308 ms          [n/a]                   80,443,8080     
91.106.35.140   318 ms          [n/a]                   80,443,8080     
91.106.36.5     232 ms          [n/a]                   21,23,80,443    
91.106.36.4     231 ms          [n/a]                   21,23,80,443    
91.106.36.7     231 ms          [n/a]                   21,23,80,443    
91.106.36.2     229 ms          [n/a]                   21,23,80,443    
91.106.36.11    235 ms          [n/a]                   21,23,80,443    
91.106.36.3     233 ms          [n/a]                   8080            
91.106.36.13    228 ms          [n/a]                   21,80,443       
91.106.36.12    221 ms          [n/a]                   8080            
91.106.36.18    215 ms          [n/a]                   21,23,80,443    
91.106.36.21    220 ms          [n/a]                   23,80,443,8080  
91.106.36.28    217 ms          [n/a]                   23,80,443,8080  
91.106.36.33    221 ms          [n/a]                   21,23,80,443    
91.106.36.30    227 ms          [n/a]                   21,23,80,443    
91.106.36.38    220 ms          [n/a]                   21,23,80,443    
91.106.36.35    233 ms          [n/a]                   21,23,80,443    
91.106.36.34    233 ms          [n/a]                   21,23,80,443    
91.106.36.37    232 ms          [n/a]                   21,23,80,443    
91.106.36.46    221 ms          [n/a]                   21,23,80,443    
91.106.36.50    214 ms          [n/a]                   21,23,80,443    
91.106.36.41    229 ms          [n/a]                   23,80,443,8080  
91.106.36.55    212 ms          [n/a]                   21,23,80,443    
91.106.36.54    223 ms          [n/a]                   21,23,80,443    
91.106.36.60    217 ms          [n/a]                   21,23,80,443    
91.106.36.66    233 ms          [n/a]                   21,23,80,443    
91.106.36.77    219 ms          [n/a]                   21,23,80,443    
91.106.36.71    230 ms          [n/a]                   21,23,80,443    
91.106.36.79    226 ms          [n/a]                   21,23,80,443    
91.106.36.78    235 ms          [n/a]                   21,23,80,443    
91.106.36.69    233 ms          [n/a]                   23,80,443,8080  
91.106.36.82    232 ms          [n/a]                   21,80,443       
91.106.36.61    236 ms          [n/a]                   80,8080         
91.106.36.98    221 ms          [n/a]                   21,80,443       
91.106.36.105   210 ms          [n/a]                   21,23,80,443    
91.106.36.106   231 ms          [n/a]                   21,23,443       
91.106.36.107   216 ms          [n/a]                   21,23,80,443    
91.106.36.110   221 ms          [n/a]                   21,23,80,443    
91.106.36.115   234 ms          [n/a]                   21,23,80,443    
91.106.36.117   218 ms          [n/a]                   21,23,80,443    
91.106.36.121   214 ms          [n/a]                   21,23,80,443    
91.106.36.116   232 ms          [n/a]                   23,80,443,8080  
91.106.36.119   227 ms          [n/a]                   21,23,80        
91.106.36.120   234 ms          [n/a]                   21,23,443       
91.106.36.125   226 ms          [n/a]                   21,23,80,443    
91.106.36.137   218 ms          [n/a]                   21,23,80,443    
91.106.36.112   233 ms          [n/a]                   8080            
91.106.36.151   220 ms          [n/a]                   21,23,80,443    
91.106.36.145   233 ms          [n/a]                   21,23,80,443    
91.106.36.133   235 ms          [n/a]                   23,80,443       
91.106.36.143   215 ms          [n/a]                   80,8080         
91.106.36.149   233 ms          [n/a]                   22,23,80        
91.106.36.142   233 ms          [n/a]                   80,8080         
91.106.36.162   217 ms          [n/a]                   21,23,80,443    
91.106.36.173   220 ms          [n/a]                   23,80,443,8080  
91.106.36.178   232 ms          [n/a]                   21,23,80,443    
91.106.36.172   230 ms          [n/a]                   80,8080         
91.106.36.175   226 ms          [n/a]                   80,8080         
91.106.36.184   221 ms          [n/a]                   23,80,443,8080  
91.106.36.196   218 ms          [n/a]                   23,80,443,8080  
91.106.36.190   227 ms          [n/a]                   21,23,443       
91.106.36.202   218 ms          [n/a]                   21,23,80,443    
91.106.36.200   223 ms          [n/a]                   80,443          
91.106.36.213   220 ms          [n/a]                   80,8080         
91.106.36.227   231 ms          [n/a]                   21,23,80,443    
91.106.36.230   235 ms          [n/a]                   23,80,443       
91.106.36.237   219 ms          [n/a]                   80,443          
91.106.36.248   233 ms          [n/a]                   23,80,443,8080  
91.106.36.251   218 ms          [n/a]                   80              
91.106.37.13    213 ms          [n/a]                   80,443          
91.106.37.12    218 ms          [n/a]                   80,443          
91.106.37.28    221 ms          [n/a]                   80,443          
91.106.37.30    229 ms          [n/a]                   80,443          
91.106.37.29    232 ms          [n/a]                   80,443          
91.106.37.34    214 ms          [n/a]                   443             
91.106.37.76    218 ms          [n/a]                   80,443          
91.106.37.77    225 ms          [n/a]                   80,443          
91.106.37.126   217 ms          [n/a]                   80,443          
91.106.37.125   225 ms          [n/a]                   80,443          
91.106.37.124   230 ms          [n/a]                   80,443          
91.106.39.16    285 ms          [n/a]                   21-23,80        
91.106.39.14    288 ms          [n/a]                   23,80,443,8080  
91.106.39.13    268 ms          [n/a]                   21,23,80,443    
91.106.39.29    270 ms          [n/a]                   21-23,80        
91.106.39.2     287 ms          [n/a]                   80              
91.106.39.36    283 ms          [n/a]                   23,80,443,8080  
91.106.39.1     283 ms          [n/a]                   22              
91.106.39.45    277 ms          [n/a]                   23,80,443,8080  
91.106.39.33    288 ms          [n/a]                   23,80,443,8080  
91.106.39.22    286 ms          [n/a]                   80,8080         
91.106.39.55    268 ms          [n/a]                   21,23,80,443    
91.106.39.53    287 ms          [n/a]                   21,23,80,443    
91.106.39.52    288 ms          [n/a]                   23,80,443       
91.106.39.61    276 ms          [n/a]                   23,80,443,8080  
91.106.39.62    282 ms          [n/a]                   21,23,80,443    
91.106.39.64    278 ms          [n/a]                   21,23,80,443    
91.106.39.66    282 ms          [n/a]                   21,23,80,443    
91.106.39.58    283 ms          [n/a]                   23,80,443       
91.106.39.70    269 ms          [n/a]                   23,80,443,8080  
91.106.39.72    270 ms          [n/a]                   21,23,80,443    
91.106.39.63    281 ms          [n/a]                   23,80,443,8080  
91.106.39.77    274 ms          [n/a]                   21,23,80,443    
91.106.39.81    271 ms          [n/a]                   23,80,443,8080  
