
IP              Ping            Hostname                Ports           
82.199.208.141  313 ms          [n/a]                   80,443          
82.199.208.140  316 ms          [n/a]                   80,443          
82.199.208.157  320 ms          [n/a]                   80,443          
82.199.208.158  320 ms          [n/a]                   80,443          
82.199.208.156  318 ms          [n/a]                   80,443          
82.199.208.233  324 ms          [n/a]                   22,8080         
82.199.209.147  341 ms          [n/a]                   80,443          
82.199.209.146  349 ms          [n/a]                   80,443          
82.199.209.158  338 ms          [n/a]                   80,443          
82.199.209.160  340 ms          [n/a]                   80,443          
82.199.209.161  342 ms          [n/a]                   80,443          
82.199.209.170  347 ms          [n/a]                   80,443          
82.199.209.159  358 ms          [n/a]                   80,443          
82.199.209.162  363 ms          [n/a]                   80,443          
82.199.209.148  361 ms          [n/a]                   80,443          
82.199.209.145  370 ms          [n/a]                   443             
82.199.211.145  279 ms          [n/a]                   80,443          
82.199.211.148  290 ms          [n/a]                   80,443          
82.199.211.149  296 ms          [n/a]                   80,443          
82.199.211.162  284 ms          [n/a]                   80,443          
82.199.211.171  283 ms          [n/a]                   80,443          
82.199.211.147  284 ms          [n/a]                   443             
82.199.211.159  296 ms          [n/a]                   80,443          
82.199.211.160  291 ms          [n/a]                   80,443          
82.199.211.161  305 ms          [n/a]                   80,443          
82.199.211.170  304 ms          [n/a]                   80,443          
82.199.211.158  299 ms          [n/a]                   80,443          
82.199.212.146  349 ms          [n/a]                   80,443          
82.199.212.148  349 ms          [n/a]                   80,443          
82.199.212.158  348 ms          [n/a]                   80,443          
82.199.212.159  349 ms          [n/a]                   80,443          
82.199.212.160  350 ms          [n/a]                   80,443          
82.199.212.149  350 ms          [n/a]                   80,443          
82.199.212.145  353 ms          [n/a]                   443             
82.199.212.163  354 ms          [n/a]                   80,443          
82.199.212.162  353 ms          [n/a]                   80,443          
82.199.212.171  357 ms          [n/a]                   80,443          
82.199.212.170  356 ms          [n/a]                   80,443          
82.199.212.211  337 ms          [n/a]                   8080            
82.199.213.141  342 ms          [n/a]                   80,443          
82.199.213.140  344 ms          [n/a]                   80,443          
82.199.213.156  349 ms          [n/a]                   80,443          
82.199.213.158  350 ms          [n/a]                   80,443          
82.199.213.157  351 ms          [n/a]                   80,443          
82.199.214.149  256 ms          [n/a]                   80,443          
82.199.214.148  259 ms          [n/a]                   80,443          
82.199.214.146  279 ms          [n/a]                   80,443          
82.199.214.145  266 ms          [n/a]                   443             
82.199.214.158  253 ms          [n/a]                   80,443          
82.199.214.162  266 ms          [n/a]                   80,443          
82.199.214.160  269 ms          [n/a]                   80,443          
82.199.214.161  269 ms          [n/a]                   80,443          
82.199.214.159  272 ms          [n/a]                   80,443          
82.199.214.171  283 ms          [n/a]                   80,443          
82.199.214.170  281 ms          [n/a]                   80,443          
82.199.215.142  323 ms          [n/a]                   80,443          
82.199.215.141  325 ms          [n/a]                   80,443          
82.199.215.140  340 ms          [n/a]                   80,443          
82.199.215.157  325 ms          [n/a]                   80,443          
82.199.215.129  331 ms          [n/a]                   22              
82.199.215.155  332 ms          [n/a]                   80,443          
82.199.215.158  339 ms          [n/a]                   80,443          
82.199.215.156  327 ms          [n/a]                   80,443          
82.199.216.145  290 ms          [n/a]                   80,443          
82.199.216.149  295 ms          [n/a]                   80,443          
82.199.216.148  295 ms          [n/a]                   80,443          
82.199.216.147  294 ms          [n/a]                   443             
82.199.216.161  290 ms          [n/a]                   80,443          
82.199.216.158  292 ms          [n/a]                   80,443          
82.199.216.159  291 ms          [n/a]                   80,443          
82.199.216.162  290 ms          [n/a]                   80,443          
82.199.216.163  291 ms          [n/a]                   80,443          
82.199.216.170  291 ms          [n/a]                   80,443          
82.199.216.171  291 ms          [n/a]                   80,443          
82.199.216.244  327 ms          [n/a]                   80,443          
82.199.216.239  328 ms          [n/a]                   22,8080         
82.199.216.246  327 ms          [n/a]                   80,443          
82.199.216.247  323 ms          [n/a]                   80,443          
82.199.216.249  323 ms          [n/a]                   80,443          
82.199.216.252  323 ms          [n/a]                   80,443          
82.199.216.248  329 ms          [n/a]                   80,443          
82.199.216.251  327 ms          [n/a]                   80,443          
82.199.216.254  328 ms          [n/a]                   80,443          
82.199.216.250  331 ms          [n/a]                   80,443          
82.199.216.245  330 ms          [n/a]                   80,443          
82.199.217.140  385 ms          [n/a]                   80,443          
82.199.217.141  384 ms          [n/a]                   80,443          
82.199.217.156  365 ms          [n/a]                   80,443          
82.199.217.158  362 ms          [n/a]                   80,443          
82.199.217.168  356 ms          [n/a]                   80,443          
82.199.217.166  356 ms          [n/a]                   80,443          
82.199.217.167  356 ms          [n/a]                   80,443          
82.199.217.165  358 ms          [n/a]                   80,443          
82.199.217.171  370 ms          [n/a]                   80,443          
82.199.217.169  360 ms          [n/a]                   80,443          
82.199.217.157  392 ms          [n/a]                   80,443          
82.199.218.146  321 ms          [n/a]                   80,443          
82.199.218.145  325 ms          [n/a]                   80,443          
82.199.218.147  319 ms          [n/a]                   443             
82.199.218.148  327 ms          [n/a]                   80,443          
82.199.218.158  336 ms          [n/a]                   80,443          
82.199.218.161  335 ms          [n/a]                   80,443          
82.199.218.160  336 ms          [n/a]                   80,443          
82.199.218.159  338 ms          [n/a]                   80,443          
82.199.218.162  337 ms          [n/a]                   80,443          
82.199.218.171  356 ms          [n/a]                   80,443          
82.199.218.239  287 ms          [n/a]                   8080            
82.199.218.170  341 ms          [n/a]                   80,443          
82.199.220.148  269 ms          [n/a]                   80,443          
82.199.220.146  273 ms          [n/a]                   80,443          
82.199.220.147  274 ms          [n/a]                   80,443          
82.199.220.160  275 ms          [n/a]                   80,443          
82.199.220.158  284 ms          [n/a]                   80,443          
82.199.220.159  281 ms          [n/a]                   80,443          
82.199.220.161  288 ms          [n/a]                   80,443          
82.199.220.149  275 ms          [n/a]                   443             
82.199.220.171  273 ms          [n/a]                   80,443          
82.199.220.163  274 ms          [n/a]                   80,443          
82.199.220.170  282 ms          [n/a]                   80,443          
82.199.220.239  281 ms          [n/a]                   8080            
82.199.220.216  295 ms          [n/a]                   23              
82.199.222.145  341 ms          [n/a]                   80,443          
82.199.222.148  340 ms          [n/a]                   80,443          
82.199.222.147  341 ms          [n/a]                   80,443          
82.199.222.146  340 ms          [n/a]                   443             
82.199.222.159  327 ms          [n/a]                   80,443          
82.199.222.160  324 ms          [n/a]                   80,443          
82.199.222.162  328 ms          [n/a]                   80,443          
82.199.222.158  327 ms          [n/a]                   80,443          
82.199.222.163  321 ms          [n/a]                   80,443          
82.199.222.171  342 ms          [n/a]                   80,443          
82.199.222.170  329 ms          [n/a]                   80,443          
