
IP              Ping            Hostname                Ports           
93.91.192.2     322 ms          [n/a]                   80,443,8080     
93.91.192.3     329 ms          [n/a]                   80,443,8080     
93.91.192.4     328 ms          [n/a]                   80,443,8080     
93.91.192.10    327 ms          [n/a]                   80,443,8080     
93.91.192.13    332 ms          [n/a]                   80,443,8080     
93.91.192.5     339 ms          [n/a]                   80,443,8080     
93.91.192.9     343 ms          [n/a]                   80,443,8080     
93.91.192.14    336 ms          [n/a]                   80,443,8080     
93.91.192.8     343 ms          [n/a]                   80,443,8080     
93.91.192.11    352 ms          [n/a]                   80,443,8080     
93.91.192.12    346 ms          [n/a]                   80,443,8080     
93.91.192.15    351 ms          [n/a]                   80,443,8080     
93.91.192.6     334 ms          [n/a]                   80,443          
93.91.192.7     352 ms          [n/a]                   80,443          
93.91.192.133   347 ms          [n/a]                   21              
93.91.193.19    341 ms          [n/a]                   80,443          
93.91.193.18    364 ms          [n/a]                   80,443          
93.91.193.17    374 ms          [n/a]                   80,443          
93.91.193.20    361 ms          [n/a]                   443             
93.91.193.32    333 ms          [n/a]                   80,443          
93.91.193.33    341 ms          [n/a]                   80,443          
93.91.193.43    328 ms          [n/a]                   80,443          
93.91.193.34    345 ms          [n/a]                   80,443          
93.91.193.30    351 ms          [n/a]                   80,443          
93.91.193.31    353 ms          [n/a]                   80,443          
93.91.193.42    340 ms          [n/a]                   80,443          
93.91.193.78    324 ms          [n/a]                   80,443          
93.91.193.80    334 ms          [n/a]                   80,443          
93.91.193.77    346 ms          [n/a]                   80,443          
93.91.193.76    349 ms          [n/a]                   80,443          
93.91.193.81    350 ms          [n/a]                   80,443          
93.91.193.79    352 ms          [n/a]                   80,443          
93.91.193.126   324 ms          [n/a]                   80,443          
93.91.193.125   330 ms          [n/a]                   80,443          
93.91.193.121   347 ms          [n/a]                   80,443          
93.91.193.122   352 ms          [n/a]                   80,443          
93.91.193.123   352 ms          [n/a]                   80,443          
93.91.193.120   338 ms          [n/a]                   80,443          
93.91.193.140   325 ms          [n/a]                   80,443          
93.91.193.124   340 ms          [n/a]                   80,443          
93.91.193.142   333 ms          [n/a]                   80,443          
93.91.193.143   321 ms          [n/a]                   80,443          
93.91.193.141   352 ms          [n/a]                   80,443          
